Date,High,Low,Open,Close,Volume,Adj Close,Signal
4/1/2010,9.899999619,9.680000305,9.789999962,9.699999809,18748700,9.699999809,wait or hold
5/1/2010,9.899999619,9.680000305,9.710000038,9.710000038,22145700,9.710000038,wait or hold
6/1/2010,9.760000229,9.550000191,9.680000305,9.569999695,18643400,9.569999695,wait or hold
7/1/2010,9.550000191,9.180000305,9.510000229,9.470000267,26806800,9.470000267,wait or hold
8/1/2010,9.470000267,9.289999962,9.369999886,9.430000305,13752800,9.430000305,wait or hold
11/1/2010,9.43999958,9.079999924,9.380000114,9.140000343,23700100,9.140000343,wait or hold
12/1/2010,8.920000076,8.520000458,8.890000343,8.649999619,33387100,8.649999619,wait or hold
13/1/2010,9.199999809,8.550000191,8.710000038,9.149999619,32741900,9.149999619,wait or hold
14/1/2010,9.260000229,8.920000076,9.180000305,9,22556600,9,wait or hold
15/1/2010,9.18999958,8.800000191,9.130000114,8.840000153,34336600,8.840000153,wait or hold
19/1/2010,9.210000038,8.840000153,8.840000153,9.010000229,24866200,9.010000229,wait or hold
20/1/2010,9,8.760000229,8.979999542,8.869999886,22813600,8.869999886,wait or hold
21/1/2010,9.100000381,8.770000458,9.010000229,8.989999771,37888700,8.989999771,wait or hold
22/1/2010,8.56000042,7.820000172,8.550000191,7.880000114,69136400,7.880000114,wait or hold
25/1/2010,8.140000343,7.929999828,8.010000229,8.069999695,20560000,8.069999695,wait or hold
26/1/2010,8.18999958,7.929999828,8.029999733,8.090000153,20946600,8.090000153,wait or hold
27/1/2010,8.220000267,7.909999847,8.029999733,8.18999958,26832700,8.18999958,wait or hold
28/1/2010,8.25,7.710000038,8.239999771,7.880000114,32084100,7.880000114,wait or hold
29/1/2010,8.100000381,7.300000191,8.010000229,7.460000038,37457700,7.460000038,wait or hold
1/2/2010,7.980000019,7.53000021,7.610000134,7.980000019,25476400,7.980000019,wait or hold
2/2/2010,7.960000038,7.71999979,7.739999771,7.909999847,21110900,7.909999847,wait or hold
3/2/2010,7.960000038,7.760000229,7.829999924,7.809999943,14521900,7.809999943,wait or hold
4/2/2010,7.650000095,7.099999905,7.639999866,7.190000057,33172200,7.190000057,wait or hold
5/2/2010,7.369999886,6.980000019,7.130000114,7.349999905,28808300,7.349999905,buy
8/2/2010,7.619999886,7.28000021,7.380000114,7.420000076,24304200,7.420000076,buy
9/2/2010,7.639999866,7.420000076,7.590000153,7.539999962,19978100,7.539999962,buy
10/2/2010,7.710000038,7.449999809,7.46999979,7.639999866,17269400,7.639999866,buy
11/2/2010,7.900000095,7.599999905,7.670000076,7.840000153,14973100,7.840000153,buy
12/2/2010,8,7.650000095,7.710000038,7.869999886,21788000,7.869999886,buy
16/2/2010,8.140000343,7.869999886,7.909999847,8.06000042,13579100,8.06000042,buy
17/2/2010,8.199999809,7.940000057,8.109999657,8.029999733,12019200,8.029999733,wait or hold
