Date,High,Low,Open,Close,Volume,Adj Close,Signal
3/1/2011,87.33000183,86.73999786,86.75,86.79000092,2632800,66.25656891,buy
4/1/2011,87.27999878,86.27999878,87,86.66999817,2644100,66.16494751,buy
5/1/2011,87.90000153,86.12000275,86.29000092,86.66999817,4081300,66.16494751,buy
6/1/2011,87.19000244,85.62999725,86.86000061,86.13999939,3452600,65.76032257,buy
7/1/2011,87.30999756,85.94999695,86.55000305,86.23000336,3355500,65.82904053,buy
10/1/2011,87.33000183,85.72000122,85.72000122,87.15000153,3475200,66.53137207,buy
11/1/2011,88.33999634,87.33000183,87.33000183,87.73999786,3024400,66.98177338,buy
12/1/2011,88.76000214,87.91999817,88.01999664,88.66000366,2732900,67.68413544,buy
13/1/2011,88.87000275,87.76000214,88.47000122,88.04000092,2351900,67.21082306,buy
14/1/2011,88.11000061,87.44999695,87.73999786,88.09999847,2094300,67.25660706,buy
18/1/2011,88.5,87.70999908,87.83999634,88.13999939,2323700,67.28717041,buy
19/1/2011,88.73999786,87.66000366,88.25,87.95999908,2302200,67.14974213,buy
20/1/2011,88.37999725,87.25,87.86000061,88.04000092,2167400,67.21082306,buy
21/1/2011,89.38999939,88.37000275,88.66000366,89.29000092,3911300,68.16506958,wait or hold
24/1/2011,90.5,89.05999756,89.20999908,90.31999969,6319600,68.95140076,wait or hold
25/1/2011,89.5,87.19999695,89.40000153,88.5,7480800,67.56198883,wait or hold
26/1/2011,89.72000122,88.43000031,88.58000183,89.56999969,4097800,68.37882996,wait or hold
27/1/2011,90.29000092,89.01999664,89.19999695,89.19000244,3282400,68.08873749,wait or hold
28/1/2011,89.69000244,87.25,89.43000031,87.44000244,4927600,66.7527771,wait or hold
31/1/2011,88.19000244,87.30999756,87.93000031,87.91999817,4116500,67.11919403,wait or hold
1/2/2011,88.30000305,87.44000244,88.01999664,87.79000092,3995200,67.01994324,wait or hold
2/2/2011,88.44999695,87.68000031,87.68000031,87.75,2892600,66.98944855,wait or hold
3/2/2011,88.26999664,87.55000305,87.81999969,87.94999695,1982200,67.14211273,wait or hold
4/2/2011,88.38999939,87.65000153,87.91999817,88.29000092,1973900,67.40166473,wait or hold
7/2/2011,89.25,87.80999756,88.16999817,88.79000092,2621700,67.7833786,wait or hold
8/2/2011,89.5,88.77999878,88.97000122,89.47000122,2708000,68.30250549,wait or hold
9/2/2011,90.83999634,89.65000153,89.66999817,90.77999878,4786500,69.30257416,wait or hold
10/2/2011,90.68000031,89.95999908,90.23999786,90.45999908,2787500,69.05828094,wait or hold
11/2/2011,91.94999695,90.05999756,90.33999634,91.80000305,3410000,70.08123779,wait or hold
14/2/2011,92.30000305,91.72000122,91.72000122,91.90000153,3418500,70.15757751,wait or hold
15/2/2011,92.13999939,91,91.51999664,92,2971900,70.2339325,wait or hold
16/2/2011,92.94999695,91.44999695,91.45999908,92.33000183,3906500,70.90977478,wait or hold
17/2/2011,92.95999908,92.01999664,92.13999939,92.73000336,3134200,71.21697998,wait or hold
18/2/2011,92.97000122,92.05000305,92.73000336,92.95999908,3435200,71.39363861,wait or hold
22/2/2011,93.65000153,91.81999969,92.73000336,92,5032300,70.65632629,wait or hold
23/2/2011,92.58000183,89.87000275,92.56999969,90.26000214,5360900,69.32000732,wait or hold
24/2/2011,90.73000336,89.26999664,90.43000031,90.02999878,3995700,69.14335632,wait or hold
25/2/2011,90.66999817,89.69000244,89.75,90.25,2859500,69.31234741,wait or hold
28/2/2011,92.63999939,91.09999847,91.90000153,92.23000336,4797400,70.83299255,wait or hold
1/3/2011,92.34999847,90.44000244,92.19000244,90.45999908,4008100,69.47361755,wait or hold
2/3/2011,92.19999695,90.23999786,90.23999786,91.31999969,2809500,70.13409424,wait or hold
